"","Ageband","Sex","Year","Country","Definition","Deaths","Pop"
"1","15-24","Female",2000,"Argentina","Full",0,3189360.5
"2","15-24","Female",2000,"Argentina","Simple",2.00342247942762,3189360.5
"3","15-24","Female",2000,"Australia","Full",1,1285283
"4","15-24","Female",2000,"Australia","Simple",1,1285283
"5","15-24","Female",2000,"Belgium","Full",1,612148
"6","15-24","Female",2000,"Belgium","Simple",1,612148
"7","15-24","Female",2000,"Brazil","Full",14.0894461211909,17110236.5
"8","15-24","Female",2000,"Brazil","Simple",51.1915798239076,17110236.5
"9","15-24","Female",2000,"Canada","Full",3,2030972
"10","15-24","Female",2000,"Canada","Simple",5,2030972
"11","15-24","Female",2000,"Chile","Full",0,1192469.86
"12","15-24","Female",2000,"Chile","Simple",0,1192469.86
"13","15-24","Female",2000,"Colombia","Full",6.10169491525424,3673399.5
"14","15-24","Female",2000,"Colombia","Simple",6.07204116638079,3673399.5
"15","15-24","Female",2000,"Costa Rica","Full",0,361889
"16","15-24","Female",2000,"Costa Rica","Simple",1.01724137931034,361889
"17","15-24","Female",2000,"Czechia","Full",0,763848
"18","15-24","Female",2000,"Czechia","Simple",0,763848
"19","15-24","Female",2000,"Denmark","Full",0,300690
"20","15-24","Female",2000,"Denmark","Simple",0,300690
"21","15-24","Female",2000,"Dominican Republic","Full",0,855058.5
"22","15-24","Female",2000,"Dominican Republic","Simple",3.08300395256917,855058.5
"23","15-24","Female",2000,"Ecuador","Full",5,1241945.5
"24","15-24","Female",2000,"Ecuador","Simple",8,1241945.5
"25","15-24","Female",2000,"Estonia","Full",0,97165
"26","15-24","Female",2000,"Estonia","Simple",0,97165
"27","15-24","Female",2000,"Finland","Full",0,322489
"28","15-24","Female",2000,"Finland","Simple",0,322489
"29","15-24","Female",2000,"France","Full",3,3764091
"30","15-24","Female",2000,"France","Simple",4,3764091
"31","15-24","Female",2000,"Hungary","Full",1,721347
"32","15-24","Female",2000,"Hungary","Simple",4,721347
"33","15-24","Female",2000,"Israel","Full",0,530270
"34","15-24","Female",2000,"Israel","Simple",2,530270
"35","15-24","Female",2000,"Japan","Full",1,7669997
"36","15-24","Female",2000,"Japan","Simple",3.00075150300601,7669997
"37","15-24","Female",2000,"Kyrgyzstan","Full",1.02083333333333,475445
"38","15-24","Female",2000,"Kyrgyzstan","Simple",23.0690690690691,475445
"39","15-24","Female",2000,"Latvia","Full",0,166955
"40","15-24","Female",2000,"Latvia","Simple",0,166955
"41","15-24","Female",2000,"Lithuania","Full",0,245035
"42","15-24","Female",2000,"Lithuania","Simple",1,245035
"43","15-24","Female",2000,"Mexico","Full",24.2731502999106,10031883.5
"44","15-24","Female",2000,"Mexico","Simple",42.2575969965601,10031883.5
"45","15-24","Female",2000,"Moldova","Full",1,323498
"46","15-24","Female",2000,"Moldova","Simple",7,323498
"47","15-24","Female",2000,"Netherlands","Full",0,927539
"48","15-24","Female",2000,"Netherlands","Simple",0,927539
"49","15-24","Female",2000,"Nicaragua","Full",0,561302
"50","15-24","Female",2000,"Nicaragua","Simple",3,561302
"51","15-24","Female",2000,"Paraguay","Full",0,493155
"52","15-24","Female",2000,"Paraguay","Simple",3,493155
"53","15-24","Female",2000,"Peru","Full",3,2662826.5
"54","15-24","Female",2000,"Peru","Simple",8.03080872913992,2662826.5
"55","15-24","Female",2000,"Poland","Full",3,3161840
"56","15-24","Female",2000,"Poland","Simple",7,3161840
"57","15-24","Female",2000,"Romania","Full",2,1771300
"58","15-24","Female",2000,"Romania","Simple",17,1771300
"59","15-24","Female",2000,"Scotland","Full",0,312758
"60","15-24","Female",2000,"Scotland","Simple",1,312758
"61","15-24","Female",2000,"Serbia","Full",0,502157
"62","15-24","Female",2000,"Serbia","Simple",0,502157
"63","15-24","Female",2000,"Slovenia","Full",0,140949
"64","15-24","Female",2000,"Slovenia","Simple",0,140949
"65","15-24","Female",2000,"South Korea","Full",0,3767475
"66","15-24","Female",2000,"South Korea","Simple",6,3767475
"67","15-24","Female",2000,"Spain","Full",1,2846326
"68","15-24","Female",2000,"Spain","Simple",3,2846326
"69","15-24","Female",2000,"Sweden","Full",0,500737
"70","15-24","Female",2000,"Sweden","Simple",0,500737
"71","15-24","Female",2000,"Switzerland","Full",0,410136
"72","15-24","Female",2000,"Switzerland","Simple",0,410136
"73","15-24","Female",2000,"USA","Full",19,19105073
"74","15-24","Female",2000,"USA","Simple",33,19105073
"75","15-24","Female",2000,"Uruguay","Full",0,250879.5
"76","15-24","Female",2000,"Uruguay","Simple",0,250879.5
"77","15-24","Female",2001,"Argentina","Full",0,3208873.5
"78","15-24","Female",2001,"Argentina","Simple",2.02811760883557,3208873.5
"79","15-24","Female",2001,"Australia","Full",2.01058201058201,1303713
"80","15-24","Female",2001,"Australia","Simple",2.00680272108844,1303713
"81","15-24","Female",2001,"Belgium","Full",2,612659
"82","15-24","Female",2001,"Belgium","Simple",2,612659
"83","15-24","Female",2001,"Brazil","Full",22.085362203252,17309931.5
"84","15-24","Female",2001,"Brazil","Simple",50.1518604394599,17309931.5
"85","15-24","Female",2001,"Canada","Full",2,2059190
"86","15-24","Female",2001,"Canada","Simple",2,2059190
"87","15-24","Female",2001,"Chile","Full",1,1194765.57
"88","15-24","Female",2001,"Chile","Simple",4,1194765.57
"89","15-24","Female",2001,"Colombia","Full",2,3713380
"90","15-24","Female",2001,"Colombia","Simple",7.04437400950872,3713380
"91","15-24","Female",2001,"Costa Rica","Full",0,371115
"92","15-24","Female",2001,"Costa Rica","Simple",0,371115
"93","15-24","Female",2001,"Cuba","Full",0,717385.5
"94","15-24","Female",2001,"Cuba","Simple",1,717385.5
"95","15-24","Female",2001,"Czechia","Full",0,745082
"96","15-24","Female",2001,"Czechia","Simple",0,745082
"97","15-24","Female",2001,"Denmark","Full",0,294773
"98","15-24","Female",2001,"Denmark","Simple",0,294773
"99","15-24","Female",2001,"Dominican Republic","Full",0,863363.5
"100","15-24","Female",2001,"Dominican Republic","Simple",2.02264150943396,863363.5
"101","15-24","Female",2001,"Ecuador","Full",0,1259210
"102","15-24","Female",2001,"Ecuador","Simple",3,1259210
"103","15-24","Female",2001,"England & Wales","Full",3,3149155
"104","15-24","Female",2001,"England & Wales","Simple",4,3149155
"105","15-24","Female",2001,"Estonia","Full",3.01863354037267,97020
"106","15-24","Female",2001,"Estonia","Simple",4.01739130434783,97020
"107","15-24","Female",2001,"Finland","Full",2,321239
"108","15-24","Female",2001,"Finland","Simple",2,321239
"109","15-24","Female",2001,"France","Full",0,3785067
"110","15-24","Female",2001,"France","Simple",0,3785067
"111","15-24","Female",2001,"Hong Kong","Full",0,459500
"112","15-24","Female",2001,"Hong Kong","Simple",0,459500
"113","15-24","Female",2001,"Hungary","Full",0,713068
"114","15-24","Female",2001,"Hungary","Simple",0,713068
"115","15-24","Female",2001,"Israel","Full",0,536217
"116","15-24","Female",2001,"Israel","Simple",0,536217
"117","15-24","Female",2001,"Japan","Full",2,7460000
"118","15-24","Female",2001,"Japan","Simple",3.00077881619938,7460000
"119","15-24","Female",2001,"Kyrgyzstan","Full",1.02083333333333,487701
"120","15-24","Female",2001,"Kyrgyzstan","Simple",16.2465331278891,487701
"121","15-24","Female",2001,"Latvia","Full",0,167768
"122","15-24","Female",2001,"Latvia","Simple",0,167768
"123","15-24","Female",2001,"Lithuania","Full",1,245848
"124","15-24","Female",2001,"Lithuania","Simple",1,245848
"125","15-24","Female",2001,"Mexico","Full",14.0807283291648,10074792.5
"126","15-24","Female",2001,"Mexico","Simple",39.1984642173574,10074792.5
"127","15-24","Female",2001,"Moldova","Full",2,330557
"128","15-24","Female",2001,"Moldova","Simple",8,330557
"129","15-24","Female",2001,"Netherlands","Full",0,934725
"130","15-24","Female",2001,"Netherlands","Simple",0,934725
"131","15-24","Female",2001,"Nicaragua","Full",0,567979.5
"132","15-24","Female",2001,"Nicaragua","Simple",1,567979.5
"133","15-24","Female",2001,"Northern Ireland","Full",0,118668
"134","15-24","Female",2001,"Northern Ireland","Simple",0,118668
"135","15-24","Female",2001,"Paraguay","Full",0,508383
"136","15-24","Female",2001,"Paraguay","Simple",0,508383
